112205 BAD issue with track p_T, since TIB/TID are off
112213 BAD issue with track p_T, since TIB/TID are off
112215 BAD issue with track p_T, since TIB/TID are off
112218 BAD issue with track p_T, since TIB/TID are off
112220 BAD issue with track p_T, since TIB/TID are off
112222 BAD issue with track p_T, since TIB/TID are off
112227 BAD issue with track p_T, since TIB/TID are off
112231 BAD issue with track p_T, since TIB/TID are off
112233 BAD issue with track p_T, since TIB/TID are off
112237 BAD issue with track p_T, since TIB/TID are off
112248 BAD issue with track p_T, since TIB/TID are off
112252 BAD issue with track p_T, since TIB/TID are off
112255 BAD issue with track p_T, since TIB/TID are off
112257 BAD issue with track p_T, since TIB/TID are off
112265 BAD issue with track p_T, since TIB/TID are off
112275 BAD issue with track p_T, since TIB/TID are off
112281 BAD issue with track p_T, since TIB/TID are off
112309 BAD issue with track p_T, since TIB/TID are off
112315 BAD issue with track p_T, since TIB/TID are off
112323 BAD issue with track p_T, since TIB/TID are off
112331 BAD issue with track p_T, since TIB/TID are off
112341 BAD issue with track p_T, since TIB/TID are off
112345 BAD issue with track p_T, since TIB/TID are off
112347 BAD issue with track p_T, since TIB/TID are off
112360 BAD issue with track p_T, since TIB/TID are off
112366 BAD issue with track p_T, since TIB/TID are off
112377 BAD issue with track p_T, since TIB/TID are off
112381 BAD issue with track p_T, since TIB/TID are off
112385 BAD issue with track p_T, since TIB/TID are off
112387 BAD issue with track p_T, since TIB/TID are off
112389 BAD issue with track p_T, since TIB/TID are off
112392 BAD issue with track p_T, since TIB/TID are off
112397 BAD issue with track p_T, since TIB/TID are off
112401 BAD issue with track p_T, since TIB/TID are off
112407 BAD issue with track p_T, since TIB/TID are off
112417 BAD issue with track p_T, since TIB/TID are off
112432 BAD issue with track p_T, since TIB/TID are off
112435 BAD issue with track p_T, since TIB/TID are off
112459 BAD issue with track p_T, since TIB/TID are off
112493 BAD issue with track p_T, since TIB/TID are off
112499 BAD issue with track p_T, since TIB/TID are off
112500 BAD issue with track p_T, since TIB/TID are off
112506 BAD issue with track p_T, since TIB/TID are off
112513 BAD issue with track p_T, since TIB/TID are off
112515 BAD issue with track p_T, since TIB/TID are off
112521 BAD issue with track p_T, since TIB/TID are off
112525 BAD issue with track p_T, since TIB/TID are off
112538 BAD issue with track p_T, since TIB/TID are off
112541 BAD issue with track p_T, since TIB/TID are off
112543 BAD issue with track p_T, since TIB/TID are off
112544 BAD issue with track p_T, since TIB/TID are off
112545 BAD issue with track p_T, since TIB/TID are off
112546 BAD issue with track p_T, since TIB/TID are off
112547 BAD issue with track p_T, since TIB/TID are off
112549 BAD issue with track p_T, since TIB/TID are off
112550 BAD issue with track p_T, since TIB/TID are off
112552 BAD issue with track p_T, since TIB/TID are off
112553 BAD issue with track p_T, since TIB/TID are off
112556 BAD issue with track p_T, since TIB/TID are off
112557 BAD issue with track p_T, since TIB/TID are off
112558 BAD issue with track p_T, since TIB/TID are off
112559 BAD issue with track p_T, since TIB/TID are off
112560 BAD issue with track p_T, since TIB/TID are off
112561 BAD issue with track p_T, since TIB/TID are off
112562 BAD issue with track p_T, since TIB/TID are off
112563 BAD issue with track p_T, since TIB/TID are off
112564 BAD issue with track p_T, since TIB/TID are off
112565 BAD issue with track p_T, since TIB/TID are off
112566 BAD issue with track p_T, since TIB/TID are off
112567 BAD issue with track p_T, since TIB/TID are off
112573 BAD issue with track p_T, since TIB/TID are off
112574 BAD issue with track p_T, since TIB/TID are off
112575 BAD issue with track p_T, since TIB/TID are off
112576 BAD issue with track p_T, since TIB/TID are off
112577 BAD issue with track p_T, since TIB/TID are off
112579 BAD issue with track p_T, since TIB/TID are off
112580 BAD issue with track p_T, since TIB/TID are off
112593 BAD issue with track p_T, since TIB/TID are off
112594 BAD issue with track p_T, since TIB/TID are off
112595 BAD issue with track p_T, since TIB/TID are off
112596 BAD issue with track p_T, since TIB/TID are off
112597 BAD issue with track p_T, since TIB/TID are off
112605 BAD issue with track p_T, since TIB/TID are off
112606 BAD issue with track p_T, since TIB/TID are off
112611 BAD issue with track p_T, since TIB/TID are off
112639 BAD issue with track p_T, since TIB/TID are off
112645 BAD issue with track p_T, since TIB/TID are off
112647 BAD issue with track p_T, since TIB/TID are off
112650 BAD issue with track p_T, since TIB/TID are off
112653 BAD issue with track p_T, since TIB/TID are off
112665 BAD issue with track p_T, since TIB/TID are off
112686 BAD issue with track p_T, since TIB/TID are off
112691 BAD issue with track p_T, since TIB/TID are off
112697 BAD issue with track p_T, since TIB/TID are off
112698 BAD issue with track p_T, since TIB/TID are off
112700 BAD issue with track p_T, since TIB/TID are off
122270 BAD issue with track p_T, since TIB/TID/TEC off
122294 BAD issue with track p_T, since TIB/TID/TEC off
122301 BAD issue with track p_T, since TIB/TID/TEC off
122314 BAD issue with track p_T, since TIB/TID/TEC off
122497 BAD SiStrip switched off during run
122504 BAD issue with track p_T, since TIB/TID off
122506 BAD issue with track p_T, since TIB/TID off
122511 BAD issue with track p_T, since TIB/TID off
122519 BAD issue with track p_T, since TIB/TID off
122524 BAD issue with track p_T, since TIB/TID/TEC off
122542 BAD issue with track p_T, since TIB/TID/TEC off
122548 BAD issue with track p_T, since TIB/TID/TEC off
122560 BAD issue with track p_T, since TIB/TID/TEC off
122564 BAD issue with track p_T, since TIB/TID/TEC off
122568 BAD issue with track p_T, since TIB/TID/TEC off
122574 BAD issue with track p_T, since TIB/TID/TEC off
122580 BAD issue with track p_T, since TIB/TID/TEC off
